Variable,Variable Name,Measurement Unit,Allowed Values,Hc181 Source,Description,"Additional Notes (from Codebook*) *Note that ""Categorical"" may not reflect the ultimate categories of the data in the pickle file after data has been cleaned (i.e. in many casses, ""not ascertained"" was dropped). See MEPSDataValidation Notebook for more information."
Age,age,Integer,0-85,AGELAST,Person's age at last time eligible,
Sex,sex,string,"male, female",SEX,Person's sex,"Categorical: 1=male, 2=female"
User ID,user_id,Integer,60001101 - 80571103,DUPERSID,Unique ID,Dwelling unit ID + Person Number
Race,race,string,"White, Black, American Indian/Alaska Native, Asian/Native Hawaiian/Pacific Islander, Multiple Races Reported",RACEV1X,Person's race,"Categorical: 1=White, 2=Black, 3=American Indian/Alaska Native, 4=Asian/Native Hawaiian/Pacific Islander, 6=Multiple Races Reported"
Total Expenditures,tot_exp,integer,0 - 700771,TOTEXP15,"Total Health Care expenditures in 2015. This variable is the sum of all direct payments for care during the year, including out-of-pocket payments, private, public, and other sources of health care insurance. Does not include payments for over-the-counter medications.",
Personal Expenditure,tot_slf_exp,integer,0 - 84747,TOTSLF15,Total out-of-pocket expenditures in 2015,
Medicaid Expenditures,tot_mcd_exp,integer,0 - 534580,TOTMCD15,Total expenditures by medicaid in 2015,
Medicare Expenditures,tot_mcr_exp,integer,0 - 421571,TOTMCR15,Total expenditures by medicare in 2015,
Private Insurance Expenditure,tot_prv_exp,integer,0 - 653289,TOTPRV15,Total expenditures by private insurance agencies in 2015. This does not include payment by Tricare payer categories.,
Private Insurance Coverage Status,insur_priv,string,"yes, no",PRVEV15,"Indicator of whether this person ever had private insurance coverage during the year of 2015. This does not indicate whether the person had private insurance for the full year, but rather whether they had it for at least one day. This also does not indicate whetehr a payment was made for a healthcare expenditure through private insurance. This variable tracks private insurance during the year during the scope of eligibility, meaning if a person was only eligible for private insurance during a subset of the full year 2015, this variable represents whether they had private insurance coverage during that eligibility period. ","Categorical: 1=yes, 2=no"
Medicare Coverage Status,insur_mcr,string,"yes, no",MCREV15,"Indicator of whether this person ever had Medicare coverage during the year of 2015. This does not indicate whether the person had Medicare coverage for the full year, but rather whether they had it for at least one day. This also does not indicate whetehr a payment was made for a healthcare expenditure through Medicare coverage. This variable tracks Medicare coverage during the year during the scope of eligibility, meaning if a person was only eligible for Medicare coverage during a subset of the full year 2015, this variable represents only whether they had Medicare coverage during that eligibility period.","Categorical: 1=yes, 2=no"
